No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,PEG,P/S,P/B,Price,Volume,EPS (ttm),EPS growth next year,EPS growth next 5 years,Total Debt/Equity,Beta,Institutional Ownership,RSI,Gross Margin,Food Cost %,SSS %
648,FYY,FYY Foods Inc.,Meat & Protein,Plant-Based Protein,USA,1879246.06,16.17,,2.94,2.77,13.32,"35,428",1.04,3.06%,-9.54%,0.41,0.96,48.20%,43.40,25.81%,65.51%,
649,FYZ,FYZ Foods Inc.,Meat & Protein,Beef Packers,USA,4270944.87,9.63,1.49,,3.09,43.17,"288,179",1.05,4.46%,-4.66%,0.55,0.54,60.47%,61.60,31.31%,47.86%,
650,FZA,FZA Co.,Meat & Protein,Poultry,USA,6774715.50,34.61,0.96,1.73,1.69,45.08,"76,349",3.58,4.30%,-6.81%,1.04,1.33,7.36%,36.34,28.51%,37.63%,
651,FZB,FZB Foods Inc.,Meat & Protein,Pork,USA,1390398.76,,,1.91,2.79,9.53,"24,697",7.36,11.59%,-3.32%,0.73,1.04,45.20%,56.07,44.89%,38.35%,
652,FZC,FZC Foods Inc.,Meat & Protein,Plant-Based Protein,USA,1950867.56,12.81,2.67,4.04,,53.25,"9,853",5.23,16.65%,0.34%,0.35,1.55,28.17%,76.09,30.60%,40.93%,
653,FZD,FZD Co.,Meat & Protein,Beef Packers,USA,1279646.63,8.47,1.09,1.17,2.08,47.88,"372,521",-2.11,-1.77%,13.02%,0.28,0.69,82.51%,39.40,18.54%,41.50%,
654,FZE,FZE Foods Inc.,Meat & Protein,Poultry,USA,21751509.19,14.33,5.57,1.01,1.41,33.46,"121,942",-1.55,7.73%,8.24%,2.34,1.09,31.89%,34.39,35.27%,41.34%,
655,FZF,FZF Foods Inc.,Meat & Protein,Pork,USA,3908295.32,47.01,2.22,,5.59,27.75,"218,895",1.40,23.60%,12.38%,0.39,0.66,49.14%,36.97,52.26%,27.75%,
656,FZG,FZG Brands,Meat & Protein,Plant-Based Protein,USA,4913041.55,20.17,,2.86,4.03,33.92,"32,173",5.45,-0.68%,7.26%,0.33,0.63,44.26%,44.02,42.66%,52.83%,
657,FZH,FZH Foods Inc.,Meat & Protein,Beef Packers,USA,656009.60,8.43,3.55,0.53,1.91,38.56,"124,663",1.50,13.42%,33.57%,2.24,1.08,71.51%,52.10,31.70%,41.81%,
658,FZI,FZI Foods Inc.,Meat & Protein,Poultry,USA,2467087.28,,2.17,1.47,1.46,23.87,"6,983",3.36,-6.52%,2.99%,0.98,0.86,67.70%,47.76,29.63%,45.41%,
659,FZJ,FZJ Co.,Meat & Protein,Pork,USA,7585035.67,31.24,1.97,2.55,1.46,34.91,"33,068",1.11,-10.18%,5.61%,0.62,0.59,39.26%,41.09,29.67%,60.65%,
660,FZK,FZK Foods Inc.,Meat & Protein,Plant-Based Protein,USA,2601152.37,17.83,1.47,3.06,2.99,22.07,"108,996",-1.62,7.12%,21.83%,1.62,0.46,30.56%,53.29,30.08%,28.87%,
661,FZL,FZL Co.,Meat & Protein,Beef Packers,USA,3806727.89,11.78,,1.60,,17.98,"1,440,287",7.09,21.74%,4.32%,0.63,1.34,75.56%,40.77,16.75%,22.11%,
662,FZM,FZM Brands,Meat & Protein,Poultry,USA,25271521.94,18.61,1.96,1.72,1.55,53.28,"21,561",6.10,11.28%,10.50%,1.68,0.76,26.89%,59.91,29.63%,34.72%,
663,FZN,FZN Foods Inc.,Meat & Protein,Pork,USA,703355.00,17.01,1.29,,1.84,12.55,"14,960",3.91,12.28%,7.50%,0.14,0.20,21.80%,60.80,46.03%,19.92%,
664,FZO,FZO Brands,Meat & Protein,Plant-Based Protein,USA,7416686.60,19.49,,,1.71,20.06,"326,363",0.19,-2.96%,5.10%,0.63,0.94,62.11%,61.05,17.65%,36.17%,
665,FZP,FZP Foods Inc.,Meat & Protein,Beef Packers,USA,140055.15,8.20,1.08,1.42,7.30,18.84,"124,127",-1.78,-29.63%,9.27%,0.82,1.42,81.19%,41.76,41.11%,49.32%,
666,FZQ,FZQ Foods Inc.,Meat & Protein,Poultry,USA,2815918.49,37.91,,1.26,0.83,26.30,"421,731",1.00,-3.81%,2.26%,0.54,1.24,41.89%,67.83,41.88%,57.50%,
667,FZR,FZR Co.,Meat & Protein,Pork,USA,6989845.90,8.57,1.90,1.48,0.80,32.83,"100,308",0.01,24.70%,8.23%,0.59,0.94,62.82%,45.94,22.06%,40.45%,
668,FZS,FZS Foods Inc.,Meat & Protein,Plant-Based Protein,USA,1335928.89,27.17,3.21,1.51,1.28,8.27,"1,101,048",-3.55,7.87%,9.76%,0.54,1.25,21.97%,77.89,21.72%,42.08%,
669,FZT,FZT Foods Inc.,Meat & Protein,Beef Packers,USA,3705168.06,32.14,1.43,3.10,,24.24,"63,808",1.72,-4.56%,-0.75%,0.28,0.87,46.05%,63.59,40.47%,45.86%,
670,FZU,FZU Brands,Meat & Protein,Poultry,USA,507058.51,13.57,,1.05,1.99,33.70,"9,987",1.47,6.24%,-4.83%,0.47,0.80,35.90%,39.05,43.36%,35.48%,
671,FZV,FZV Foods Inc.,Meat & Protein,Pork,USA,754817.81,9.87,,0.91,0.97,28.35,"127,671",4.18,2.75%,9.75%,0.82,0.79,56.20%,43.31,41.99%,39.18%,
672,FZW,FZW Brands,Meat & Protein,Plant-Based Protein,Canada,2168057.42,21.17,0.67,1.47,1.00,24.37,"353,516",0.02,6.18%,-3.35%,0.45,0.60,3.47%,39.29,34.57%,46.62%,
673,FZX,FZX Brands,Meat & Protein,Beef Packers,Canada,6629655.72,29.05,1.84,1.02,4.14,95.08,"160,849",2.34,18.68%,3.91%,0.80,0.86,22.94%,46.32,31.10%,22.89%,
674,FZY,FZY Brands,Meat & Protein,Poultry,Canada,8631598.45,20.56,2.97,0.84,1.41,30.63,"72,383",-2.93,-8.73%,10.10%,0.69,1.00,31.17%,57.55,33.84%,42.85%,
675,FZZ,FZZ Foods Inc.,Meat & Protein,Pork,Canada,37121309.87,28.03,2.32,1.19,2.02,150.02,"267,361",3.58,20.07%,8.03%,2.89,0.20,34.91%,50.51,21.29%,37.07%,
676,BAA,BAA Brands,Meat & Protein,Plant-Based Protein,Canada,3544508.57,19.47,1.33,0.92,2.89,13.16,"68,082",5.15,6.56%,5.92%,0.43,0.85,56.41%,70.61,33.97%,30.89%,
677,BAB,BAB Foods Inc.,Meat & Protein,Beef Packers,Canada,3981114.06,23.18,0.89,,1.81,36.14,"79,186",4.22,-2.01%,25.82%,1.39,0.88,7.08%,48.26,31.85%,54.21%,
678,BAC,BAC Foods Inc.,Meat & Protein,Poultry,Canada,896701.94,25.67,4.16,4.08,1.98,10.46,"14,152",-0.14,16.64%,0.43%,0.27,0.20,19.97%,41.72,29.30%,63.77%,
679,BAD,BAD Foods Inc.,Meat & Protein,Pork,Mexico,583612.50,25.59,2.56,1.73,2.55,25.46,"17,667",4.65,10.11%,5.57%,0.76,1.05,49.35%,61.93,32.64%,39.30%,
680,BAE,BAE Foods Inc.,Meat & Protein,Plant-Based Protein,Mexico,32595777.28,7.61,2.55,0.90,6.09,18.34,"255,703",2.28,10.20%,7.45%,1.30,0.37,44.97%,42.71,21.30%,44.63%,
681,BAF,BAF Co.,Meat & Protein,Beef Packers,Mexico,592303.68,22.95,1.88,1.92,2.73,9.02,"51,711",-0.27,-13.64%,24.98%,0.38,1.23,36.91%,66.49,45.26%,31.35%,
682,BAG,BAG Co.,Meat & Protein,Poultry,Mexico,86006184.54,24.16,1.68,1.47,1.97,91.91,"31,602",0.14,14.96%,10.86%,0.60,0.57,75.24%,49.49,28.26%,37.71%,
683,BAH,BAH Foods Inc.,Meat & Protein,Pork,Mexico,4216912.15,22.65,1.21,2.35,0.74,15.79,"38,656",0.15,-14.25%,-19.98%,2.05,0.62,71.06%,71.19,29.92%,43.91%,
684,BAI,BAI Co.,Meat & Protein,Plant-Based Protein,UK,34310.25,14.17,,9.86,3.67,16.16,"49,695",-1.68,26.76%,-3.10%,1.72,0.31,70.33%,41.15,32.83%,37.17%,
685,BAJ,BAJ Brands,Meat & Protein,Beef Packers,UK,1801645.04,28.04,1.21,1.95,2.10,40.18,"35,902",6.70,10.54%,-5.10%,0.24,0.62,62.50%,37.25,39.01%,39.87%,
686,BAK,BAK Brands,Meat & Protein,Poultry,UK,15495748.68,26.39,3.57,1.26,8.36,59.77,"409,505",2.42,23.97%,4.46%,0.73,1.35,29.44%,42.62,39.01%,39.78%,
687,BAL,BAL Brands,Meat & Protein,Pork,UK,14573654.84,14.42,1.06,0.88,2.03,36.55,"46,933",-0.28,10.95%,-1.69%,0.60,1.16,75.59%,42.69,23.89%,40.15%,
688,BAM,BAM Brands,Meat & Protein,Plant-Based Protein,UK,376927.93,6.29,4.64,4.71,1.62,10.40,"17,006",0.17,5.69%,19.43%,0.63,0.91,22.45%,38.21,20.78%,33.36%,
689,BAN,BAN Co.,Meat & Protein,Beef Packers,Switzerland,3779802.35,17.57,4.61,1.96,2.36,73.04,"300,772",3.85,-8.70%,4.64%,0.58,0.64,35.59%,49.64,19.69%,33.41%,
690,BAO,BAO Brands,Meat & Protein,Poultry,Switzerland,7225737.76,21.64,1.06,3.01,1.86,23.55,"14,123",2.26,13.79%,15.65%,1.28,0.46,33.94%,35.01,36.27%,52.25%,
691,BAP,BAP Brands,Meat & Protein,Pork,Switzerland,47532.89,13.43,2.47,3.29,1.92,15.68,"241,224",4.33,19.09%,7.09%,0.26,1.59,6.56%,69.86,46.37%,45.33%,
692,BAQ,BAQ Foods Inc.,Meat & Protein,Plant-Based Protein,Netherlands,14557993.01,22.76,,1.02,0.46,90.13,"350,384",-1.43,10.32%,0.69%,0.69,1.05,19.72%,46.27,31.39%,39.86%,
693,BAR,BAR Co.,Meat & Protein,Beef Packers,Netherlands,9668349.21,16.67,,1.02,4.02,72.12,"10,652",3.00,7.82%,6.62%,0.23,1.16,49.38%,74.81,34.95%,49.10%,
694,BAS,BAS Foods Inc.,Meat & Protein,Poultry,Netherlands,2845916.05,16.10,2.20,2.12,3.44,60.15,"58,089",1.96,-5.09%,-10.38%,0.58,1.54,27.07%,45.97,33.62%,42.67%,
695,BAT,BAT Foods Inc.,Meat & Protein,Pork,Brazil,3236336.81,39.85,1.27,,3.01,11.19,"17,833",1.92,17.11%,-0.50%,1.74,0.54,53.78%,60.32,31.32%,47.67%,
696,BAU,BAU Co.,Dairy,Fluid Milk,Brazil,3563953.56,11.81,2.71,0.64,1.70,4.71,"209,089",1.21,16.12%,10.99%,0.75,0.87,22.01%,66.04,42.92%,48.39%,
697,BAV,BAV Brands,Dairy,Cheese,Brazil,1650484.65,9.23,1.52,1.44,2.02,27.72,"29,597",2.46,19.44%,-2.16%,0.92,0.73,75.06%,33.53,44.27%,56.91%,
698,BAW,BAW Foods Inc.,Dairy,Yogurt & Cultured,Japan,8444085.24,,3.48,3.05,1.97,16.87,"335,113",-2.09,3.72%,-0.63%,0.77,1.34,24.96%,46.30,23.99%,49.35%,
699,BAX,BAX Foods Inc.,Dairy,Ice Cream,Japan,3058039.77,28.93,0.84,1.88,3.20,17.87,"40,977",2.34,14.70%,25.20%,0.34,1.36,40.04%,53.40,32.72%,41.07%,
700,BAY,BAY Brands,Dairy,Fluid Milk,USA,763001.90,27.68,0.53,2.16,2.98,7.44,"188,056",1.98,-5.96%,-3.36%,0.94,0.86,36.24%,49.06,30.57%,50.55%,
701,BAZ,BAZ Brands,Dairy,Cheese,USA,1982540.16,14.95,1.07,2.01,3.59,85.95,"61,296",7.45,-5.12%,9.99%,0.60,0.57,11.68%,43.76,24.72%,26.02%,
702,BBA,BBA Co.,Dairy,Yogurt & Cultured,USA,2952726.50,57.26,0.61,2.71,4.19,27.48,"329,700",1.74,8.83%,15.94%,1.02,0.77,71.97%,47.15,45.24%,52.11%,
703,BBB,BBB Brands,Dairy,Ice Cream,USA,3135120.62,14.38,2.71,0.76,2.54,23.54,"20,273",5.00,-9.07%,-0.82%,0.17,0.63,70.18%,31.46,47.08%,54.69%,
704,BBC,BBC Brands,Dairy,Fluid Milk,USA,15214457.52,,1.25,1.45,2.03,54.45,"26,426",0.54,12.75%,17.44%,0.59,1.26,73.85%,45.75,27.78%,36.67%,
705,BBD,BBD Foods Inc.,Dairy,Cheese,USA,3069669.34,31.11,2.78,1.86,1.84,57.10,"157,340",7.37,-3.88%,3.62%,0.81,0.74,44.01%,58.11,33.48%,44.24%,
706,BBE,BBE Co.,Dairy,Yogurt & Cultured,USA,3744095.25,32.24,0.81,,1.80,18.52,"435,349",-4.22,-8.06%,8.55%,0.34,1.00,46.94%,44.17,28.83%,48.69%,
707,BBF,BBF Foods Inc.,Dairy,Ice Cream,USA,4916690.87,19.41,4.55,,1.20,71.50,"80,852",4.83,23.12%,24.00%,0.59,0.65,45.18%,62.68,24.26%,33.63%,
708,BBG,BBG Brands,Dairy,Fluid Milk,USA,19730247.04,8.49,1.72,4.07,2.11,69.25,"38,222",3.54,2.01%,6.95%,0.80,1.39,14.87%,51.70,42.98%,40.79%,
709,BBH,BBH Brands,Dairy,Cheese,USA,1700585.06,44.84,,2.11,1.60,14.71,"45,168",-0.08,11.43%,24.68%,1.32,0.73,26.24%,49.01,29.41%,38.36%,
710,BBI,BBI Foods Inc.,Dairy,Yogurt & Cultured,USA,5108987.32,13.23,1.69,1.01,,11.66,"303,550",3.22,-3.43%,13.93%,0.57,1.26,5.04%,57.53,24.27%,53.10%,
711,BBJ,BBJ Brands,Dairy,Ice Cream,USA,2208541.09,13.50,2.16,0.69,2.02,27.99,"33,718",5.78,4.93%,2.58%,0.63,0.94,31.63%,41.94,34.89%,53.41%,
712,BBK,BBK Co.,Dairy,Fluid Milk,USA,194988.71,8.27,,2.93,2.23,7.27,"1,499,695",1.70,13.44%,-0.02%,0.32,1.37,49.27%,54.74,32.54%,48.82%,
713,BBL,BBL Brands,Dairy,Cheese,USA,6634302.39,20.97,0.63,1.48,8.01,114.54,"29,652",1.43,0.31%,24.75%,1.02,0.71,77.74%,36.73,18.60%,47.49%,
714,BBM,BBM Co.,Dairy,Yogurt & Cultured,USA,18779174.13,31.93,1.02,1.71,1.48,30.97,"76,875",-1.96,1.61%,11.53%,1.00,0.48,63.99%,66.09,41.83%,41.53%,
715,BBN,BBN Co.,Dairy,Ice Cream,USA,2836016.84,16.10,3.58,2.71,2.05,24.39,"221,228",7.41,11.02%,-2.02%,0.77,0.20,49.05%,42.19,42.28%,37.88%,
716,BBO,BBO Brands,Dairy,Fluid Milk,USA,651425.96,12.77,1.92,3.36,,3.35,"24,398",2.57,0.19%,5.54%,0.79,1.26,70.86%,38.80,36.79%,39.32%,
717,BBP,BBP Co.,Dairy,Cheese,USA,7937439.21,,1.64,1.64,1.58,21.76,"52,155",7.30,1.94%,-0.64%,1.17,0.20,30.15%,68.87,38.14%,20.38%,
718,BBQ,BBQ Brands,Dairy,Yogurt & Cultured,USA,585851.24,20.59,1.02,0.53,3.20,20.97,"2,220",6.31,12.76%,28.61%,0.61,1.04,37.28%,38.66,31.06%,45.07%,
719,BBR,BBR Foods Inc.,Dairy,Ice Cream,USA,2223044.98,,1.35,4.43,0.48,12.07,"510,716",3.53,-12.50%,8.95%,0.32,1.09,64.87%,47.32,26.39%,58.06%,
720,BBS,BBS Brands,Dairy,Fluid Milk,USA,5359202.71,75.19,1.17,0.27,1.18,95.42,"13,419",4.97,31.21%,4.97%,0.69,0.20,25.59%,44.49,38.70%,46.49%,
721,BBT,BBT Foods Inc.,Dairy,Cheese,USA,1191794.25,23.30,1.29,1.61,1.95,48.26,"5,942",1.15,1.07%,0.63%,0.31,0.99,20.05%,53.43,44.13%,49.53%,
722,BBU,BBU Foods Inc.,Dairy,Yogurt & Cultured,USA,79063.49,22.96,4.00,4.02,1.47,17.08,"4,288,306",4.86,28.91%,6.19%,1.07,0.48,25.83%,26.20,34.80%,43.31%,
723,BBV,BBV Foods Inc.,Dairy,Ice Cream,USA,3090448.62,9.05,1.00,1.39,,34.12,"3,307",-1.19,19.40%,19.17%,1.17,0.20,46.16%,34.05,12.28%,56.48%,
724,BBW,BBW Foods Inc.,Dairy,Fluid Milk,USA,2485480.66,30.54,1.10,1.44,1.35,31.49,"86,068",4.07,2.41%,1.41%,0.99,0.41,29.59%,33.44,33.15%,46.68%,
725,BBX,BBX Co.,Dairy,Cheese,USA,324531.35,45.97,1.18,2.16,3.36,10.69,"151,252",2.39,9.26%,8.44%,0.18,0.96,66.72%,63.05,42.11%,59.02%,
726,BBY,BBY Co.,Dairy,Yogurt & Cultured,USA,2651894.74,9.75,2.29,0.73,1.58,14.96,"16,499",1.74,21.10%,14.89%,0.37,0.71,80.18%,49.59,23.69%,25.05%,
727,BBZ,BBZ Foods Inc.,Dairy,Ice Cream,USA,89104975.99,20.13,0.79,0.72,1.51,68.57,"51,015",2.22,3.95%,-3.22%,0.85,1.28,24.63%,48.85,22.78%,60.22%,
728,BCA,BCA Foods Inc.,Dairy,Fluid Milk,USA,1650020.99,39.47,1.46,1.78,5.20,47.92,"12,826",2.21,5.34%,26.45%,0.45,1.27,55.46%,44.28,24.85%,47.22%,
729,BCB,BCB Foods Inc.,Dairy,Cheese,USA,9037029.45,30.32,2.61,1.51,1.35,47.98,"166,639",6.11,7.51%,24.32%,0.19,1.03,42.20%,50.32,33.19%,18.55%,
730,BCC,BCC Foods Inc.,Dairy,Yogurt & Cultured,USA,1784539.37,24.49,0.61,3.36,3.33,37.47,"21,613",-2.31,8.08%,11.46%,0.76,1.04,29.57%,52.62,13.46%,39.14%,
731,BCD,BCD Brands,Dairy,Ice Cream,USA,7260858.52,49.08,1.53,6.26,1.03,45.45,"19,238",4.49,9.76%,13.67%,0.57,0.80,67.40%,60.02,43.51%,67.86%,
732,BCE,BCE Co.,Dairy,Fluid Milk,USA,7630887.53,7.38,1.18,0.98,,47.46,"102,135",2.69,-1.56%,0.77%,1.18,0.20,33.31%,45.24,32.30%,53.76%,
733,BCF,BCF Foods Inc.,Dairy,Cheese,USA,378416.20,18.81,2.58,0.62,3.07,19.56,"108,591",0.67,5.64%,-9.05%,0.41,0.50,61.96%,25.64,37.22%,36.98%,
734,BCG,BCG Foods Inc.,Dairy,Yogurt & Cultured,USA,6622511.47,16.18,1.00,6.65,2.71,34.65,"910,763",0.19,-19.70%,13.86%,1.11,0.72,57.80%,71.44,57.44%,48.90%,
735,BCH,BCH Foods Inc.,Dairy,Ice Cream,USA,2039842.66,15.11,,1.36,0.91,114.94,"4,596",-0.18,-3.77%,-2.57%,0.37,1.04,29.00%,38.35,26.09%,43.52%,
736,BCI,BCI Foods Inc.,Dairy,Fluid Milk,USA,310722.53,11.57,1.03,1.31,1.42,22.69,"18,955",-1.10,25.57%,12.09%,0.57,1.03,24.80%,39.21,12.91%,45.87%,
737,BCJ,BCJ Brands,Dairy,Cheese,USA,799615.81,20.48,1.28,1.64,4.29,16.19,"55,632",2.75,10.25%,11.01%,1.19,1.07,68.97%,69.67,23.22%,43.40%,
738,BCK,BCK Brands,Dairy,Yogurt & Cultured,USA,41983646.47,23.39,,2.61,3.27,187.69,"15,555",-2.88,6.29%,-3.02%,0.95,0.61,53.45%,57.76,15.97%,46.97%,
739,BCL,BCL Foods Inc.,Dairy,Ice Cream,USA,2615668.02,36.74,,1.77,,18.42,"170,069",0.96,-7.10%,1.39%,0.21,0.84,41.92%,43.73,39.95%,39.96%,
740,BCM,BCM Co.,Dairy,Fluid Milk,USA,7816689.47,8.73,1.60,,3.18,9.73,"49,356",-0.05,18.57%,0.56%,0.61,1.67,26.65%,61.04,26.69%,43.13%,
741,BCN,BCN Foods Inc.,Dairy,Cheese,USA,14699464.25,31.95,2.66,2.24,2.96,51.64,"21,689",7.53,6.29%,21.65%,0.27,0.82,71.36%,42.35,17.71%,33.31%,
742,BCO,BCO Co.,Dairy,Yogurt & Cultured,USA,4209360.79,19.77,1.29,0.70,1.72,19.19,"24,066",-1.43,1.36%,5.03%,0.56,1.29,56.96%,47.67,24.30%,44.45%,
743,BCP,BCP Foods Inc.,Dairy,Ice Cream,USA,291312.47,20.11,2.46,2.00,,21.01,"86,987",-1.04,16.14%,3.57%,1.84,1.22,65.23%,70.56,16.38%,46.76%,
744,BCQ,BCQ Foods Inc.,Dairy,Fluid Milk,USA,3383124.34,19.74,,3.00,2.34,12.98,"225,907",-0.42,14.62%,17.30%,0.92,1.29,70.34%,60.09,32.01%,36.10%,
745,BCR,BCR Brands,Dairy,Cheese,USA,6783352.03,,1.50,,3.38,82.06,"203,741",-0.23,11.58%,-6.64%,0.99,0.20,57.40%,47.20,21.08%,48.36%,
746,BCS,BCS Brands,Dairy,Yogurt & Cultured,USA,614979.00,,1.25,0.63,2.34,5.07,"76,811",8.08,10.65%,19.51%,0.33,0.21,27.71%,59.07,21.14%,28.64%,
747,BCT,BCT Foods Inc.,Dairy,Ice Cream,USA,7768679.47,11.72,1.65,6.67,0.57,63.33,"354,937",4.39,9.05%,8.52%,0.58,0.80,51.23%,53.62,28.92%,48.76%,
748,BCU,BCU Foods Inc.,Dairy,Fluid Milk,USA,2559749.64,20.54,1.50,1.25,2.31,42.18,"50,019",4.09,14.31%,-3.52%,0.56,0.57,36.25%,41.11,30.78%,40.06%,
749,BCV,BCV Foods Inc.,Dairy,Cheese,USA,3393604.80,,1.01,1.40,1.76,16.51,"117,521",1.45,26.89%,2.34%,0.58,1.80,13.95%,61.82,28.46%,37.41%,
750,BCW,BCW Foods Inc.,Dairy,Yogurt & Cultured,USA,479523.69,,1.08,1.18,0.56,21.13,"9,864",-1.08,16.08%,17.28%,0.32,0.72,52.34%,62.98,38.51%,39.70%,
751,BCX,BCX Foods Inc.,Dairy,Ice Cream,USA,745411.92,25.91,2.23,3.05,0.89,26.42,"7,426",-2.00,4.84%,16.86%,0.64,0.67,28.50%,63.81,14.91%,40.06%,
752,BCY,BCY Brands,Dairy,Fluid Milk,USA,2051479.72,,1.61,4.03,2.33,12.79,"57,757",0.03,15.65%,15.64%,1.54,1.00,51.51%,53.26,40.98%,42.52%,
753,BCZ,BCZ Co.,Dairy,Cheese,USA,4404614.89,16.99,0.79,1.66,2.65,49.77,"739,162",5.98,-7.26%,-5.32%,0.55,1.38,45.36%,29.62,45.53%,26.03%,
754,BDA,BDA Foods Inc.,Dairy,Yogurt & Cultured,USA,3910559.47,,1.53,1.40,,13.56,"57,471",-0.18,14.79%,10.81%,1.88,0.35,14.28%,56.01,21.81%,34.92%,
755,BDB,BDB Foods Inc.,Dairy,Ice Cream,USA,512693.64,27.33,1.00,2.09,3.06,74.32,"70,172",7.71,1.25%,-9.77%,0.79,0.74,53.68%,31.58,30.53%,58.03%,
756,BDC,BDC Co.,Dairy,Fluid Milk,USA,1874117.68,,5.74,2.94,3.14,27.95,"258,116",1.43,-4.62%,5.20%,0.63,0.93,55.82%,39.28,38.41%,43.82%,
757,BDD,BDD Co.,Dairy,Cheese,USA,2129686.33,,1.66,,3.90,24.20,"474,421",3.41,-7.24%,6.76%,0.69,0.87,45.40%,66.26,36.74%,40.62%,
758,BDE,BDE Foods Inc.,Dairy,Yogurt & Cultured,USA,4769856.69,21.67,1.64,0.80,1.87,15.44,"49,862",1.69,7.37%,2.65%,0.35,0.75,31.63%,53.70,31.07%,46.46%,
759,BDF,BDF Brands,Dairy,Ice Cream,USA,612090.87,29.46,0.91,1.81,1.61,13.37,"44,806",1.97,19.09%,1.70%,1.54,0.82,66.63%,34.42,35.15%,39.16%,
760,BDG,BDG Co.,Dairy,Fluid Milk,USA,284185.54,32.53,1.08,0.94,0.33,15.11,"7,182,331",5.92,-33.07%,-3.44%,0.57,1.00,79.96%,38.35,40.36%,40.18%,
761,BDH,BDH Co.,Dairy,Cheese,USA,3735940.27,17.85,1.86,0.37,1.63,17.53,"173,803",5.86,25.89%,5.51%,0.22,1.39,27.34%,41.33,32.98%,30.92%,
762,BDI,BDI Brands,Dairy,Yogurt & Cultured,USA,5215995.55,37.56,2.00,3.22,1.17,24.37,"21,049",5.54,4.85%,-4.42%,0.34,1.31,49.51%,48.32,47.42%,36.36%,
763,BDJ,BDJ Co.,Dairy,Ice Cream,USA,57918202.41,10.21,1.45,0.26,1.19,106.73,"159,368",4.90,19.30%,3.33%,0.22,0.90,77.22%,35.46,34.93%,37.63%,
764,BDK,BDK Foods Inc.,Dairy,Fluid Milk,USA,9472809.34,22.08,1.10,0.72,1.59,52.09,"177,177",-1.30,14.39%,5.06%,0.14,0.28,29.10%,31.67,37.03%,47.34%,
765,BDL,BDL Foods Inc.,Dairy,Cheese,USA,1588748.43,34.34,1.33,1.13,1.96,48.03,"21,961",6.47,14.33%,4.11%,0.32,0.36,63.38%,45.49,36.92%,51.91%,
766,BDM,BDM Co.,Foodservice Dist.,Broadline Distribution,USA,286148.79,18.03,,1.13,1.86,15.91,"5,979",4.74,7.60%,25.38%,1.44,0.40,21.60%,46.45,18.71%,44.59%,
767,BDN,BDN Co.,Foodservice Dist.,Specialty Produce,USA,16694746.75,26.46,0.68,1.04,2.40,34.01,"532,930",-1.02,2.43%,20.35%,0.62,0.90,14.17%,46.53,28.18%,44.46%,
768,BDO,BDO Brands,Foodservice Dist.,Protein Distribution,USA,1532735.55,23.28,,2.02,1.53,38.26,"64,292",-1.65,6.88%,15.47%,0.35,1.66,50.41%,61.28,37.49%,43.18%,
769,BDP,BDP Brands,Foodservice Dist.,Broadline Distribution,USA,4538616.09,9.20,1.56,0.84,3.18,88.18,"23,244",5.92,0.08%,12.62%,1.15,1.10,55.55%,54.27,32.71%,52.91%,
770,BDQ,BDQ Foods Inc.,Foodservice Dist.,Specialty Produce,USA,13884585.04,,1.37,2.34,2.87,50.70,"21,765",4.95,9.98%,11.29%,0.42,0.83,46.88%,55.70,20.72%,45.61%,
771,BDR,BDR Co.,Foodservice Dist.,Protein Distribution,USA,848244.83,26.55,2.11,1.45,2.89,29.92,"74,533",6.10,-12.46%,-1.60%,0.10,1.31,50.71%,37.94,29.58%,35.50%,
772,BDS,BDS Foods Inc.,Foodservice Dist.,Broadline Distribution,Canada,17985837.41,13.14,0.70,0.79,2.19,39.56,"139,049",3.55,-10.87%,15.42%,0.76,0.67,51.59%,55.88,44.33%,51.15%,
773,BDT,BDT Brands,Foodservice Dist.,Specialty Produce,Canada,115987.60,18.84,0.71,2.45,4.08,4.98,"41,087",4.96,19.54%,-3.87%,0.56,0.85,56.93%,53.93,44.89%,50.92%,
774,BDU,BDU Foods Inc.,Foodservice Dist.,Protein Distribution,Canada,278816.41,19.07,0.94,1.66,,12.23,"25,174",-1.00,29.76%,-2.86%,0.49,1.34,61.00%,32.25,31.70%,37.35%,
775,BDV,BDV Brands,Foodservice Dist.,Broadline Distribution,Canada,8926630.38,21.54,,2.38,,21.08,"5,235",5.19,7.90%,3.85%,0.25,0.78,81.92%,63.06,43.66%,44.16%,
776,BDW,BDW Co.,Foodservice Dist.,Specialty Produce,Canada,384234.63,22.33,0.37,0.91,4.40,16.78,"201,196",5.22,1.90%,9.82%,0.57,1.00,56.81%,31.44,36.40%,42.21%,
777,BDX,BDX Foods Inc.,Foodservice Dist.,Protein Distribution,Canada,3453299.25,13.79,1.22,1.38,5.33,49.70,"301,853",4.73,-2.87%,-15.28%,0.77,0.47,48.58%,44.20,22.81%,33.59%,
778,BDY,BDY Brands,Foodservice Dist.,Broadline Distribution,Canada,10366161.32,32.44,2.11,0.87,2.35,73.64,"22,837",2.51,13.16%,13.16%,0.47,1.07,41.36%,36.88,22.17%,58.14%,
779,BDZ,BDZ Co.,Foodservice Dist.,Specialty Produce,Mexico,4654632.33,,4.45,1.15,3.97,67.71,"153,895",1.06,-17.02%,19.84%,0.60,0.88,50.89%,62.58,40.14%,55.03%,
